; "SupportedThreads",64,"UsedThreads",32,"TotalMemory",274185846784,"PlanRigor","estimate","PlanTimeLimit [s]","None","NumberWarmups",0,"NumberWarmRuns",20,"NumberTotalRuns",20,"ErrorBound",1e-05,"CurrentTime",1600168243,"CurrentTimeLocal","Tue Sep 15 13:10:43 2020","Hostname","juawei-a22","gearshifft","0.3.0"
; "Time_ContextCreate [ms]", 0.00048
; "Time_ContextDestroy [ms]", 0.00042
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]","Error_StandardDeviation","Error_Mismatches"
"Fftw","Inplace","Real","double",3,"oddshape",51,51,144,0,2,"Success",0.01394,26.570573,27.434578,0.875524,16.228062,16.121821,0.382362,0.294421,87.925361,3037968,0,2996352,6.5256333432e-17,0
"Fftw","Inplace","Real","double",3,"oddshape",51,51,144,1,2,"Success",0.01556,26.609954,27.521438,0.801944,16.188641,16.005521,0.381021,0.217322,87.745581,3037968,0,2996352,6.5256333432e-17,0
"Fftw","Inplace","Real","double",3,"oddshape",51,51,144,2,2,"Success",0.00062,26.571794,27.485998,0.444622,16.119161,16.088341,0.381602,0.214761,87.310779,3037968,0,2996352,6.5256333432e-17,0
"Fftw","Inplace","Real","double",3,"oddshape",51,51,144,3,2,"Success",0.00062,26.600634,27.512558,0.442422,16.137601,16.075821,0.379902,0.212461,87.365919,3037968,0,2996352,6.5256333432e-17,0
"Fftw","Inplace","Real","double",3,"oddshape",51,51,144,4,2,"Success",0.00084,26.547093,27.485918,0.444482,16.09726,16.035501,0.379462,0.195821,87.190218,3037968,0,2996352,6.5256333432e-17,0
"Fftw","Inplace","Real","double",3,"oddshape",51,51,144,5,2,"Success",0.00062,26.619513,27.464758,0.442002,17.104986,16.129601,0.380362,0.212841,88.358523,3037968,0,2996352,6.5256333432e-17,0
"Fftw","Inplace","Real","double",3,"oddshape",51,51,144,6,2,"Success",0.00062,26.599074,27.538078,0.445622,16.299722,16.215161,0.379882,0.196361,87.67836,3037968,0,2996352,6.5256333432e-17,0
"Fftw","Inplace","Real","double",3,"oddshape",51,51,144,7,2,"Success",0.00062,26.547913,27.535219,0.442982,16.155701,16.033941,0.381641,0.223022,87.324839,3037968,0,2996352,6.5256333432e-17,0
"Fftw","Inplace","Real","double",3,"oddshape",51,51,144,8,2,"Success",0.00062,26.590174,27.507698,0.443102,16.239182,16.137341,0.381462,0.208401,87.51184,3037968,0,2996352,6.5256333432e-17,0
"Fftw","Inplace","Real","double",3,"oddshape",51,51,144,9,2,"Success",0.00058,26.532994,27.465797,0.443663,16.195481,16.093941,0.380842,0.210421,87.327599,3037968,0,2996352,6.5256333432e-17,0
"Fftw","Inplace","Real","double",3,"oddshape",51,51,144,10,2,"Success",0.00062,26.625093,27.454678,0.458102,16.211482,16.747704,0.381102,0.213901,88.096543,3037968,0,2996352,6.5256333432e-17,0
"Fftw","Inplace","Real","double",3,"oddshape",51,51,144,11,2,"Success",0.0006,26.604313,27.364878,0.455702,16.353142,16.378122,0.383262,0.199961,87.74384,3037968,0,2996352,6.5256333432e-17,0
"Fftw","Inplace","Real","double",3,"oddshape",51,51,144,12,2,"Success",0.00056,26.520573,27.443138,0.444742,16.326262,16.354482,0.380262,0.218341,87.6922,3037968,0,2996352,6.5256333432e-17,0
"Fftw","Inplace","Real","double",3,"oddshape",51,51,144,13,2,"Success",0.00062,26.484513,27.400118,0.444502,16.666624,16.775044,0.382282,0.200021,88.357564,3037968,0,2996352,6.5256333432e-17,0
"Fftw","Inplace","Real","double",3,"oddshape",51,51,144,14,2,"Success",0.0006,26.522213,27.375797,0.444462,16.209802,15.98684,0.381682,0.214341,87.139617,3037968,0,2996352,6.5256333432e-17,0
"Fftw","Inplace","Real","double",3,"oddshape",51,51,144,15,2,"Success",0.00074,26.434893,27.423017,0.445923,16.217981,16.149501,0.380882,0.199181,87.255938,3037968,0,2996352,6.5256333432e-17,0
"Fftw","Inplace","Real","double",3,"oddshape",51,51,144,16,2,"Success",0.00064,26.430973,27.446357,0.444563,16.465502,16.475623,0.382882,0.200141,87.850641,3037968,0,2996352,6.5256333432e-17,0
"Fftw","Inplace","Real","double",3,"oddshape",51,51,144,17,2,"Success",0.0006,26.589233,27.469978,0.446023,16.356542,16.362162,0.381462,0.198481,87.808401,3037968,0,2996352,6.5256333432e-17,0
"Fftw","Inplace","Real","double",3,"oddshape",51,51,144,18,2,"Success",0.00062,26.479233,27.494138,0.446762,16.303082,16.084321,0.389282,0.215241,87.416599,3037968,0,2996352,6.5256333432e-17,0
"Fftw","Inplace","Real","double",3,"oddshape",51,51,144,19,2,"Success",0.00066,26.476733,27.378218,0.442702,16.257502,16.164521,0.381082,0.195821,87.301139,3037968,0,2996352,6.5256333432e-17,0
"Fftw","Inplace","Real","double",3,"oddshape",55,55,150,0,3,"Success",0.01528,20.743864,23.990321,1.075065,0.646043,0.648943,0.478663,0.301321,47.90346,3678400,0,3630000,1.5859004983e-16,0
"Fftw","Inplace","Real","double",3,"oddshape",55,55,150,1,3,"Success",0.01792,20.782244,23.93372,0.993985,0.652964,0.592803,0.470302,0.209881,47.657799,3678400,0,3630000,1.5859004983e-16,0
"Fftw","Inplace","Real","double",3,"oddshape",55,55,150,2,3,"Success",0.00058,20.797905,23.98316,1.026786,0.630203,0.595883,0.470022,0.205401,47.7137,3678400,0,3630000,1.5859004983e-16,0
"Fftw","Inplace","Real","double",3,"oddshape",55,55,150,3,3,"Success",0.0006,20.757165,23.91896,0.523982,0.665964,0.594543,0.470262,0.207161,47.142557,3678400,0,3630000,1.5859004983e-16,0
"Fftw","Inplace","Real","double",3,"oddshape",55,55,150,4,3,"Success",0.0006,20.724144,23.962781,0.525682,0.612884,0.612063,0.471822,0.210081,47.123877,3678400,0,3630000,1.5859004983e-16,0
"Fftw","Inplace","Real","double",3,"oddshape",55,55,150,5,3,"Success",0.00058,20.777965,24.0087,0.526323,0.599743,0.597883,0.482922,0.212741,47.211317,3678400,0,3630000,1.5859004983e-16,0
"Fftw","Inplace","Real","double",3,"oddshape",55,55,150,6,3,"Success",0.00058,20.779424,23.976781,0.526442,0.609103,0.607803,0.468503,0.209561,47.181897,3678400,0,3630000,1.5859004983e-16,0
"Fftw","Inplace","Real","double",3,"oddshape",55,55,150,7,3,"Success",0.00056,20.739724,23.89292,1.049125,0.659464,0.596783,0.471662,0.211201,47.625159,3678400,0,3630000,1.5859004983e-16,0
"Fftw","Inplace","Real","double",3,"oddshape",55,55,150,8,3,"Success",0.0006,20.698283,23.966101,0.526302,0.605644,0.598923,0.469662,0.212301,47.081456,3678400,0,3630000,1.5859004983e-16,0
"Fftw","Inplace","Real","double",3,"oddshape",55,55,150,9,3,"Success",0.00056,20.768945,23.92358,0.526862,0.660644,0.594323,0.469022,0.209541,47.157137,3678400,0,3630000,1.5859004983e-16,0
"Fftw","Inplace","Real","double",3,"oddshape",55,55,150,10,3,"Success",0.0007,20.715964,23.9379,0.523743,0.641603,0.591483,0.467842,0.210281,47.093196,3678400,0,3630000,1.5859004983e-16,0
"Fftw","Inplace","Real","double",3,"oddshape",55,55,150,11,3,"Success",0.00062,20.752505,23.93732,0.522922,0.629204,0.603183,0.467462,0.211441,47.128297,3678400,0,3630000,1.5859004983e-16,0
"Fftw","Inplace","Real","double",3,"oddshape",55,55,150,12,3,"Success",0.0006,20.756225,23.97252,0.524683,0.630503,0.607183,0.470842,0.206261,47.172397,3678400,0,3630000,1.5859004983e-16,0
"Fftw","Inplace","Real","double",3,"oddshape",55,55,150,13,3,"Success",0.00062,20.846704,23.984381,0.524542,0.646344,0.607483,0.467282,0.207901,47.288897,3678400,0,3630000,1.5859004983e-16,0
"Fftw","Inplace","Real","double",3,"oddshape",55,55,150,14,3,"Success",0.0006,20.758384,23.923581,0.525522,0.618323,0.610783,0.469483,0.207921,47.118317,3678400,0,3630000,1.5859004983e-16,0
"Fftw","Inplace","Real","double",3,"oddshape",55,55,150,15,3,"Success",0.00062,20.729964,23.95248,0.521943,0.646783,0.606263,0.469283,0.213721,47.144797,3678400,0,3630000,1.5859004983e-16,0
"Fftw","Inplace","Real","double",3,"oddshape",55,55,150,16,3,"Success",0.00058,20.803365,24.03982,0.555923,0.613763,0.608983,0.468823,0.210701,47.305678,3678400,0,3630000,1.5859004983e-16,0
"Fftw","Inplace","Real","double",3,"oddshape",55,55,150,17,3,"Success",0.00058,20.783404,24.005041,0.524762,0.644984,0.608323,0.469282,0.210281,47.250377,3678400,0,3630000,1.5859004983e-16,0
"Fftw","Inplace","Real","double",3,"oddshape",55,55,150,18,3,"Success",0.0006,20.699724,23.929101,0.522522,0.641263,0.601903,0.470623,0.209441,47.078977,3678400,0,3630000,1.5859004983e-16,0
"Fftw","Inplace","Real","double",3,"oddshape",55,55,150,19,3,"Success",0.00058,20.732924,24.065021,0.527903,0.628763,0.604323,0.468762,0.209761,47.241697,3678400,0,3630000,1.5859004983e-16,0
"Fftw","Inplace","Real","double",3,"oddshape",61,61,160,0,4,"Success",0.01566,61.880851,66.128092,1.524508,1.302726,1.174006,0.623643,0.470563,133.123909,4822416,0,4762880,1.1168004092e-16,0
"Fftw","Inplace","Real","double",3,"oddshape",61,61,160,1,4,"Success",0.01988,61.937871,66.094132,0.882065,1.271946,1.199626,0.633083,0.358842,132.401445,4822416,0,4762880,1.1168004092e-16,0
"Fftw","Inplace","Real","double",3,"oddshape",61,61,160,2,4,"Success",0.00064,61.79091,66.155112,0.708964,1.245286,1.172406,0.617103,0.317602,132.011763,4822416,0,4762880,1.1168004092e-16,0
"Fftw","Inplace","Real","double",3,"oddshape",61,61,160,3,4,"Success",0.00072,61.877711,66.238093,0.704883,1.214066,1.176726,0.613463,0.353562,132.183304,4822416,0,4762880,1.1168004092e-16,0
"Fftw","Inplace","Real","double",3,"oddshape",61,61,160,4,4,"Success",0.00066,61.86595,66.199713,0.702363,1.236267,1.195486,0.613703,0.312281,132.130183,4822416,0,4762880,1.1168004092e-16,0
"Fftw","Inplace","Real","double",3,"oddshape",61,61,160,5,4,"Success",0.00062,62.006031,66.265113,0.705283,1.239227,1.190846,0.612063,0.315781,132.338644,4822416,0,4762880,1.1168004092e-16,0
"Fftw","Inplace","Real","double",3,"oddshape",61,61,160,6,4,"Success",0.0006,61.878651,66.206752,0.714844,1.249346,1.176846,0.610283,0.354162,132.195124,4822416,0,4762880,1.1168004092e-16,0
"Fftw","Inplace","Real","double",3,"oddshape",61,61,160,7,4,"Success",0.00062,61.896291,66.199692,0.702944,1.226986,1.221786,0.612383,0.316722,132.181104,4822416,0,4762880,1.1168004092e-16,0
"Fftw","Inplace","Real","double",3,"oddshape",61,61,160,8,4,"Success",0.0006,61.822651,66.111872,0.710163,1.200166,1.192466,0.608944,0.348621,131.999363,4822416,0,4762880,1.1168004092e-16,0
"Fftw","Inplace","Real","double",3,"oddshape",61,61,160,9,4,"Success",0.00062,61.80855,66.179872,0.701384,1.236086,1.241986,0.639163,0.359262,132.170603,4822416,0,4762880,1.1168004092e-16,0
"Fftw","Inplace","Real","double",3,"oddshape",61,61,160,10,4,"Success",0.00058,61.83821,66.179773,0.710363,1.236906,1.182926,0.610363,0.316542,132.079303,4822416,0,4762880,1.1168004092e-16,0
"Fftw","Inplace","Real","double",3,"oddshape",61,61,160,11,4,"Success",0.00092,61.949691,66.317353,0.695283,1.233966,1.184566,0.608963,0.349362,132.343944,4822416,0,4762880,1.1168004092e-16,0
"Fftw","Inplace","Real","double",3,"oddshape",61,61,160,12,4,"Success",0.00058,61.80817,66.165052,0.716004,1.225906,1.286386,0.616524,0.322241,132.144463,4822416,0,4762880,1.1168004092e-16,0
"Fftw","Inplace","Real","double",3,"oddshape",61,61,160,13,4,"Success",0.0006,61.85835,66.121612,0.700184,1.224706,1.167706,0.612623,0.315522,132.005023,4822416,0,4762880,1.1168004092e-16,0
"Fftw","Inplace","Real","double",3,"oddshape",61,61,160,14,4,"Success",0.0006,61.888011,66.216152,0.706644,1.235046,1.170226,0.613103,0.322982,132.156524,4822416,0,4762880,1.1168004092e-16,0
"Fftw","Inplace","Real","double",3,"oddshape",61,61,160,15,4,"Success",0.00074,61.871351,66.167312,0.699264,1.229146,1.176826,0.608763,0.314101,132.071183,4822416,0,4762880,1.1168004092e-16,0
"Fftw","Inplace","Real","double",3,"oddshape",61,61,160,16,4,"Success",0.00066,61.75513,66.195313,0.712703,1.191346,1.190606,0.610023,0.354762,132.014263,4822416,0,4762880,1.1168004092e-16,0
"Fftw","Inplace","Real","double",3,"oddshape",61,61,160,17,4,"Success",0.0006,61.81085,66.179032,0.711644,1.256126,1.207166,0.626063,0.345102,132.140303,4822416,0,4762880,1.1168004092e-16,0
"Fftw","Inplace","Real","double",3,"oddshape",61,61,160,18,4,"Success",0.00062,61.86437,66.108332,0.714504,1.241146,1.179966,0.611423,0.321482,132.045543,4822416,0,4762880,1.1168004092e-16,0
"Fftw","Inplace","Real","double",3,"oddshape",61,61,160,19,4,"Success",0.00074,62.151992,66.560114,0.701864,1.247546,1.168626,0.611383,0.320981,132.766886,4822416,0,4762880,1.1168004092e-16,0
"Fftw","Inplace","Real","double",3,"radix357",45,45,125,0,0,"Success",0.01384,15.426977,16.293002,0.651564,2.648873,0.374762,0.258361,0.257601,35.92904,2041200,0,2025000,1.2804596238e-16,0
"Fftw","Inplace","Real","double",3,"radix357",45,45,125,1,0,"Success",0.01522,15.107116,16.089621,0.561742,0.468383,0.366342,0.255801,0.196621,33.064766,2041200,0,2025000,1.2804596238e-16,0
"Fftw","Inplace","Real","double",3,"radix357",45,45,125,2,0,"Success",0.00056,15.001415,16.078001,0.301902,0.438442,0.371142,0.255281,0.188681,32.638964,2041200,0,2025000,1.2804596238e-16,0
"Fftw","Inplace","Real","double",3,"radix357",45,45,125,3,0,"Success",0.00056,14.961375,16.073181,0.299081,0.454342,0.370282,0.255021,0.187221,32.604844,2041200,0,2025000,1.2804596238e-16,0
"Fftw","Inplace","Real","double",3,"radix357",45,45,125,4,0,"Success",0.00058,14.938775,16.01278,0.298202,0.458902,0.373622,0.255621,0.205001,32.547183,2041200,0,2025000,1.2804596238e-16,0
"Fftw","Inplace","Real","double",3,"radix357",45,45,125,5,0,"Success",0.00064,14.960955,16.03136,0.297422,0.436182,0.373402,0.254941,0.216561,32.574983,2041200,0,2025000,1.2804596238e-16,0
"Fftw","Inplace","Real","double",3,"radix357",45,45,125,6,0,"Success",0.00058,15.022456,16.02412,0.297402,0.435602,0.375542,0.254681,0.188321,32.602224,2041200,0,2025000,1.2804596238e-16,0
"Fftw","Inplace","Real","double",3,"radix357",45,45,125,7,0,"Success",0.00054,14.963515,16.057421,0.295081,0.460263,0.370101,0.254882,0.188541,32.593944,2041200,0,2025000,1.2804596238e-16,0
"Fftw","Inplace","Real","double",3,"radix357",45,45,125,8,0,"Success",0.0006,14.946635,16.03446,0.296462,0.468862,0.370302,0.254521,0.189001,32.564483,2041200,0,2025000,1.2804596238e-16,0
"Fftw","Inplace","Real","double",3,"radix357",45,45,125,9,0,"Success",0.00058,14.934975,15.988561,0.296661,0.456043,0.370341,0.255602,0.185781,32.492184,2041200,0,2025000,1.2804596238e-16,0
"Fftw","Inplace","Real","double",3,"radix357",45,45,125,10,0,"Success",0.0006,14.960555,16.01562,0.296722,0.464562,0.372062,0.255801,0.185501,32.554963,2041200,0,2025000,1.2804596238e-16,0
"Fftw","Inplace","Real","double",3,"radix357",45,45,125,11,0,"Success",0.00062,15.017696,16.03186,0.297142,0.433122,0.371322,0.255061,0.182381,32.592804,2041200,0,2025000,1.2804596238e-16,0
"Fftw","Inplace","Real","double",3,"radix357",45,45,125,12,0,"Success",0.00066,14.961255,15.98258,0.296202,0.460622,0.370842,0.255061,0.185121,32.515943,2041200,0,2025000,1.2804596238e-16,0
"Fftw","Inplace","Real","double",3,"radix357",45,45,125,13,0,"Success",0.00058,15.004756,16.01556,0.296042,0.462502,0.370662,0.255001,0.189681,32.598384,2041200,0,2025000,1.2804596238e-16,0
"Fftw","Inplace","Real","double",3,"radix357",45,45,125,14,0,"Success",0.00066,14.961135,16.058981,0.297041,0.456963,0.369482,0.254901,0.187761,32.590524,2041200,0,2025000,1.2804596238e-16,0
"Fftw","Inplace","Real","double",3,"radix357",45,45,125,15,0,"Success",0.0006,14.945815,16.079321,0.296021,0.453163,0.371061,0.254742,0.188101,32.592424,2041200,0,2025000,1.2804596238e-16,0
"Fftw","Inplace","Real","double",3,"radix357",45,45,125,16,0,"Success",0.00062,14.949715,15.99616,0.297362,0.448902,0.369842,0.254621,0.187921,32.508803,2041200,0,2025000,1.2804596238e-16,0
"Fftw","Inplace","Real","double",3,"radix357",45,45,125,17,0,"Success",0.0006,14.977995,16.020681,0.295501,0.461103,0.373422,0.254961,0.212201,32.600024,2041200,0,2025000,1.2804596238e-16,0
"Fftw","Inplace","Real","double",3,"radix357",45,45,125,18,0,"Success",0.00062,14.975935,16.02206,0.295362,0.459222,0.375802,0.255381,0.188461,32.576503,2041200,0,2025000,1.2804596238e-16,0
"Fftw","Inplace","Real","double",3,"radix357",45,45,125,19,0,"Success",0.00056,14.960116,16.04908,0.297362,0.458942,0.368862,0.255801,0.188481,32.582844,2041200,0,2025000,1.2804596238e-16,0
"Fftw","Inplace","Real","double",3,"radix357",49,49,135,0,1,"Success",0.01428,18.245472,21.81493,0.797344,0.569762,0.457963,0.333501,0.297522,42.534574,2612288,0,2593080,1.5230038673e-16,0
"Fftw","Inplace","Real","double",3,"radix357",49,49,135,1,1,"Success",0.01742,18.345692,21.97059,0.429102,0.522403,0.456822,0.342742,0.245101,42.333592,2612288,0,2593080,1.5230038673e-16,0
"Fftw","Inplace","Real","double",3,"radix357",49,49,135,2,1,"Success",0.00056,18.241771,21.93395,0.372942,0.519403,0.448542,0.332562,0.232481,42.085771,2612288,0,2593080,1.5230038673e-16,0
"Fftw","Inplace","Real","double",3,"radix357",49,49,135,3,1,"Success",0.00058,18.213892,21.88729,0.372942,0.495542,0.457782,0.331941,0.227061,41.990611,2612288,0,2593080,1.5230038673e-16,0
"Fftw","Inplace","Real","double",3,"radix357",49,49,135,4,1,"Success",0.00082,18.267832,21.860669,0.369302,0.555283,0.456762,0.332802,0.217181,42.065031,2612288,0,2593080,1.5230038673e-16,0
"Fftw","Inplace","Real","double",3,"radix357",49,49,135,5,1,"Success",0.0006,18.259231,21.89511,0.372002,0.498743,0.476362,0.331422,0.232441,42.069491,2612288,0,2593080,1.5230038673e-16,0
"Fftw","Inplace","Real","double",3,"radix357",49,49,135,6,1,"Success",0.00058,18.198212,21.858049,0.373402,0.548023,0.454762,0.331542,0.230941,41.999111,2612288,0,2593080,1.5230038673e-16,0
"Fftw","Inplace","Real","double",3,"radix357",49,49,135,7,1,"Success",0.00062,18.182131,21.82467,0.375002,0.512782,0.455282,0.329522,0.216681,41.90033,2612288,0,2593080,1.5230038673e-16,0
"Fftw","Inplace","Real","double",3,"radix357",49,49,135,8,1,"Success",0.0006,18.285392,21.92139,0.374142,0.552522,0.452103,0.329981,0.232681,42.152571,2612288,0,2593080,1.5230038673e-16,0
"Fftw","Inplace","Real","double",3,"radix357",49,49,135,9,1,"Success",0.00058,18.263252,21.885349,0.373162,0.547703,0.455742,0.331562,0.231741,42.092671,2612288,0,2593080,1.5230038673e-16,0
"Fftw","Inplace","Real","double",3,"radix357",49,49,135,10,1,"Success",0.0006,18.233011,21.951691,0.371361,0.518943,0.455942,0.331842,0.231201,42.098291,2612288,0,2593080,1.5230038673e-16,0
"Fftw","Inplace","Real","double",3,"radix357",49,49,135,11,1,"Success",0.00058,18.239911,21.88637,0.370182,0.541003,0.456222,0.331822,0.230041,42.059671,2612288,0,2593080,1.5230038673e-16,0
"Fftw","Inplace","Real","double",3,"radix357",49,49,135,12,1,"Success",0.00058,18.193051,21.89185,0.370782,0.529903,0.462222,0.333242,0.229881,42.015231,2612288,0,2593080,1.5230038673e-16,0
"Fftw","Inplace","Real","double",3,"radix357",49,49,135,13,1,"Success",0.0006,18.251592,21.93681,0.372422,0.470143,0.457702,0.338442,0.234701,42.066072,2612288,0,2593080,1.5230038673e-16,0
"Fftw","Inplace","Real","double",3,"radix357",49,49,135,14,1,"Success",0.00056,18.209772,21.91629,0.371762,0.497082,0.453442,0.332362,0.230561,42.015451,2612288,0,2593080,1.5230038673e-16,0
"Fftw","Inplace","Real","double",3,"radix357",49,49,135,15,1,"Success",0.00056,18.185791,22.00019,0.371302,0.475763,0.453142,0.329522,0.231841,42.051731,2612288,0,2593080,1.5230038673e-16,0
"Fftw","Inplace","Real","double",3,"radix357",49,49,135,16,1,"Success",0.00062,18.155211,21.84893,0.371702,0.535383,0.454962,0.331421,0.230102,41.931911,2612288,0,2593080,1.5230038673e-16,0
"Fftw","Inplace","Real","double",3,"radix357",49,49,135,17,1,"Success",0.00062,18.206251,21.91079,0.371262,0.547783,0.455182,0.331982,0.228301,42.055791,2612288,0,2593080,1.5230038673e-16,0
"Fftw","Inplace","Real","double",3,"radix357",49,49,135,18,1,"Success",0.00056,18.241391,21.92021,0.371082,0.518843,0.455982,0.330762,0.231141,42.073651,2612288,0,2593080,1.5230038673e-16,0
"Fftw","Inplace","Real","double",3,"radix357",49,49,135,19,1,"Success",0.00054,18.225372,21.94131,0.371482,0.467762,0.456603,0.332121,0.234841,42.033631,2612288,0,2593080,1.5230038673e-16,0
